#min	U_T mV	U_H V	sigma U
0	-7.9	6.75	0.4
0.5	-7.64	7.5	0.4
1	-7.43	9.5	0.4
1.5	-7.22	10.5	0.4
2	-7.02	11.5	0.4
2.5	-6.85	12	0.4
3	-6.69	13	0.4
3.5	-6.52	13.6	0.4
4	-6.36	14.1	0.4
4.5	-6.1	15	0.4
5	-5.94	16.2	1.2
5.5	-5.82	16.5	1.2
6	-5.69	16.5	1.2
6.5	-5.57	17.25	1.2
7	-5.45	18	1.2
7.5	-5.33	18	1.2
8	-5.2	18.75	1.2
8.5	-5.09	19.2	1.2
9	-4.97	19.2	1.2
9.5	-4.86	19.8	1.2
10	-4.75	20.25	1.2
10.5	-4.64	20.25	1.2
11	-4.54	21	1.2
11.5	-4.43	21	1.2
12	-4.33	21.75	1.2
12.5	-4.22	21.75	1.2
13	-4.12	22.5	1.2
13.5	-4.01	22.5	1.2
14	-3.91	22.8	1.2
14.5	-3.82	22.8	1.2
15	-3.72		
